133  [main] INFO  log.Log - Hello, world!
434  [main] INFO  log.Log - Открыт канал на порте 7182
14937 [main] INFO  log.Log - Соединен с клиентом по адресу /127.0.0.1:49786
14944 [main] INFO  log.Log - Десериализация запроса
14949 [main] INFO  log.Log - Получен запрос
14949 [main] INFO  log.Log - Обработка запроса
14949 [main] INFO  log.Log - Клиент спрашивает, нужен ли объект коллекции для обработки этой команды
14949 [main] INFO  log.Log - Формирование запроса с отрицательным ответом
14949 [main] INFO  log.Log - Отправка запроса
14949 [main] INFO  log.Log - Сериализация ответа
14951 [main] INFO  log.Log - Запрос отправлен
14951 [main] INFO  log.Log - Request{commandName='show', studygroup=null}
14952 [main] INFO  log.Log - Открыт канал на порте 7182
14985 [main] INFO  log.Log - Соединен с клиентом по адресу /127.0.0.1:49789
14986 [main] INFO  log.Log - Десериализация запроса
14986 [main] INFO  log.Log - Получен запрос
14986 [main] INFO  log.Log - Обработка запроса
14986 [main] INFO  log.Log - Попытка обработать команду show
14993 [main] INFO  log.Log - Отправка запроса
14993 [main] INFO  log.Log - Сериализация ответа
14994 [main] INFO  log.Log - Запрос отправлен
14994 [main] INFO  log.Log - Request{commandName='show', studygroup=null}
14994 [main] INFO  log.Log - Открыт канал на порте 7182
23920 [main] INFO  log.Log - Соединен с клиентом по адресу /127.0.0.1:49802
23920 [main] INFO  log.Log - Десериализация запроса
23921 [main] INFO  log.Log - Получен запрос
23921 [main] INFO  log.Log - Обработка запроса
23921 [main] INFO  log.Log - Клиент спрашивает, нужен ли объект коллекции для обработки этой команды
23921 [main] INFO  log.Log - Формирование запроса с отрицательным ответом
23921 [main] INFO  log.Log - Отправка запроса
23921 [main] INFO  log.Log - Сериализация ответа
23921 [main] INFO  log.Log - Запрос отправлен
23921 [main] INFO  log.Log - Request{commandName='help', studygroup=null}
23921 [main] INFO  log.Log - Открыт канал на порте 7182
24423 [main] INFO  log.Log - Соединен с клиентом по адресу /127.0.0.1:49803
24423 [main] INFO  log.Log - Десериализация запроса
24424 [main] INFO  log.Log - Получен запрос
24424 [main] INFO  log.Log - Обработка запроса
24424 [main] INFO  log.Log - Попытка обработать команду help
24424 [main] INFO  log.Log - Отправка запроса
24424 [main] INFO  log.Log - Сериализация ответа
24424 [main] INFO  log.Log - Запрос отправлен
24424 [main] INFO  log.Log - Request{commandName='help', studygroup=null}
24425 [main] INFO  log.Log - Открыт канал на порте 7182
88952 [main] INFO  log.Log - Соединен с клиентом по адресу /127.0.0.1:49884
88952 [main] INFO  log.Log - Десериализация запроса
88952 [main] INFO  log.Log - Получен запрос
88952 [main] INFO  log.Log - Обработка запроса
